Sec,NanoSec,Sec_total,X,Y,Z,x_dot,y_dot,z_dot,q_x,q_y,q_z,q_w
1.63E+09,4.66E+08,1.63E+09,67.374,-14.676,8.665,0.00020638,-0.00071759,-0.0006733,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,4.99E+08,1.63E+09,67.374,-14.676,8.6649,0.00019992,-0.00085859,0.0002815,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,5.33E+08,1.63E+09,67.374,-14.676,8.6649,0.0007808,-0.00053036,-0.00020901,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,5.66E+08,1.63E+09,67.374,-14.676,8.6649,0.00095308,-0.00037972,-7.74E-05,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,5.99E+08,1.63E+09,67.374,-14.676,8.6649,0.00055841,-0.00074655,-1.77E-06,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,6.33E+08,1.63E+09,67.374,-14.676,8.6649,0.0001229,-0.00092263,-0.00014309,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,6.66E+08,1.63E+09,67.374,-14.677,8.6649,0.00011744,-0.0011846,-0.00068197,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,6.99E+08,1.63E+09,67.374,-14.677,8.6649,0.00011026,-0.0013717,-0.00067702,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,7.33E+08,1.63E+09,67.374,-14.677,8.6649,0.00061943,-0.00095798,-0.00018523,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,7.66E+08,1.63E+09,67.374,-14.677,8.6649,-4.56E-05,-0.0024107,-0.00040895,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,7.99E+08,1.63E+09,67.374,-14.677,8.6649,0.00017899,-0.0017795,0.0016148,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,8.33E+08,1.63E+09,67.374,-14.677,8.6649,0.00033449,-0.00047325,0.0015573,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,8.66E+08,1.63E+09,67.374,-14.677,8.665,-0.0012551,-8.04E-05,0.00036512,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,9.32E+08,1.63E+09,67.374,-14.677,8.665,-0.0017315,-0.00020273,0.00032506,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,9.66E+08,1.63E+09,67.374,-14.677,8.665,-0.0014053,-0.0010482,-0.00029837,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,1.00E+09,1.63E+09,67.374,-14.677,8.665,-0.0016951,-0.0017398,-0.00094773,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,3.25E+07,1.63E+09,67.374,-14.677,8.665,-0.00093152,-0.0017216,-0.00071513,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,6.63E+07,1.63E+09,67.374,-14.677,8.6649,-0.00082733,-0.0016104,-0.00058876,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,9.95E+07,1.63E+09,67.374,-14.677,8.6649,-0.0012272,-0.0014022,-0.0004737,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,1.33E+08,1.63E+09,67.374,-14.677,8.6649,-0.001082,-0.0012927,-0.00052473,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,1.66E+08,1.63E+09,67.374,-14.677,8.6649,-0.00088011,-0.0013027,-0.00036714,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,1.99E+08,1.63E+09,67.374,-14.677,8.6649,-0.0010365,-0.0011001,7.28E-05,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,2.33E+08,1.63E+09,67.374,-14.677,8.6649,-0.00071149,-0.0010322,0.00048033,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,2.66E+08,1.63E+09,67.374,-14.677,8.6649,-0.00065766,-0.0012303,0.00068331,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,2.99E+08,1.63E+09,67.374,-14.677,8.6649,0.00050055,-0.00272,0.0020546,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,3.33E+08,1.63E+09,67.374,-14.677,8.665,0.0010305,-0.0032874,0.0024486,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,3.66E+08,1.63E+09,67.374,-14.677,8.6651,0.00084139,-0.0027203,0.0021011,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,4.00E+08,1.63E+09,67.374,-14.678,8.6651,0.00076495,-0.0024781,0.0019242,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,4.33E+08,1.63E+09,67.374,-14.678,8.6652,0.00067724,-0.0021946,0.0017053,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,4.66E+08,1.63E+09,67.374,-14.678,8.6653,0.00062115,-0.0020129,0.0015643,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,4.99E+08,1.63E+09,67.374,-14.678,8.6653,0.00056239,-0.0018225,0.0014163,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,5.33E+08,1.63E+09,67.374,-14.678,8.6654,0.00050504,-0.0016367,0.0012719,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,5.66E+08,1.63E+09,67.374,-14.678,8.6654,0.00045583,-0.0014772,0.001148,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,6.00E+08,1.63E+09,67.374,-14.678,8.6654,0.0004188,-0.0013572,0.0010547,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,6.33E+08,1.63E+09,67.374,-14.678,8.6655,0.00037715,-0.0012222,0.00094982,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,6.66E+08,1.63E+09,67.374,-14.678,8.6655,0.0003383,-0.0010963,0.00085197,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,6.99E+08,1.63E+09,67.374,-14.678,8.6655,0.00029861,-0.00096769,0.00075203,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,7.34E+08,1.63E+09,67.374,-14.678,8.6656,0.0002892,-0.0009372,0.00072834,-0.049895,-0.16441,-0.015417,0.98501
