time in sec,v_x,v_y,v_z,w_x,w_y,w_z
1632492877,-0.553089068,-0.03413754,0.101207371,0.16986962,-0.346188623,0.197115722
1632492877,-0.523455575,-0.017780248,0.06216862,0.089647643,-0.439484669,0.112968798
1632492877,-0.649039127,0.070439581,-0.247265228,0.39288149,-0.011177358,0.12995282
1632492877,-0.933881761,0.047907402,-0.151073342,0.720721142,0.329531753,0.124236182
1632492877,-0.900759503,-0.022274989,0.155913619,0.623044939,0.250930932,-0.010626933
1632492877,-0.728968019,0.01728755,-0.044008447,0.486894572,0.077355685,0.049189537
1632492877,-0.571023919,-0.007831996,0.091995739,0.632577083,-0.038986011,0.126513081
1632492877,-0.402257336,-0.038445795,0.298924177,0.301823277,-0.532753336,0.307766007
1632492877,-0.401453417,0.007989454,0.045743243,0.123702517,-0.611767929,0.350208855
1632492877,-0.650075481,0.092772515,-0.44020685,0.330360014,0.031271054,0.029093859
1632492877,-0.768697403,0.067048776,-0.227636923,0.520374443,0.22787576,0.230371397
1632492877,-0.854873247,0.037464646,0.05840484,0.706180249,0.265056796,-0.006509871
1632492877,-0.866021334,0.017027357,0.269615601,0.160121691,0.06323476,-0.072518012
1632492877,-0.943555007,0.042645049,0.027666864,-0.127217119,0.074976514,0.004350626
1632492877,-0.944883278,0.042669327,0.03339118,-0.080977244,-0.010400569,0.040091389
1632492877,-1.008712541,0.060339249,-0.09547515,0.080942093,0.216529355,0.090821092
1632492877,-0.930018133,0.051037544,-0.011085608,0.19817187,0.11859347,0.076338373
1632492877,-0.784071827,0.045011749,0.018076681,0.299570567,-0.071831786,0.090095398
1632492877,-0.82437329,0.054989995,-0.027871283,0.26957837,-0.033386419,0.143819558
1632492877,-0.809940671,0.056712808,-0.043136312,0.247277326,-0.017252975,0.011960899
1632492877,-0.84945762,0.060391449,-0.050161552,0.190449523,0.086814143,0.0640543
1632492877,-0.878521736,0.062913947,0.021316517,0.068799802,0.071653963,0.187338429
1632492877,-0.913683176,0.072625357,-0.057053815,-0.055503595,0.032791059,0.083337157
1632492877,-1.019808099,0.086789944,-0.103763357,-0.022697643,0.211042254,0.158431281
1632492877,-1.044119529,0.094677803,-0.014735781,0.132118701,0.334759738,0.413529424
1632492877,-0.98997576,0.101165969,-0.020904689,0.237963056,0.21103235,0.282853487
1632492877,-0.960336519,0.105824458,-0.018120796,0.282383624,0.078668217,0.215152223
1632492878,-0.896214338,0.101824489,-0.020838911,0.312626004,-0.027935847,-0.003366561
1632492878,-0.867677097,0.090399507,0.058646027,0.272101571,-0.074873661,-0.504508121
1632492878,-0.884334023,0.085897157,0.021135253,0.264397679,-0.042013722,0.054561742
1632492878,-0.830155104,0.084994051,-0.030060902,0.549052275,0.116990459,0.292576139
1632492878,-0.69873095,0.082457572,0.100489927,0.56066454,-0.17758399,0.309451263
1632492878,-0.631907063,0.076843468,-0.004221029,0.342447561,-0.222781135,0.225483576
1632492878,-0.620942921,0.076844976,-0.027969589,0.210760206,-0.262161557,0.064823059
1632492878,-0.629530395,0.075652515,-0.063880164,0.076003335,-0.299155656,-0.005511492
1632492878,-0.705548067,0.079309072,-0.114981743,0.050514895,-0.216370664,-0.146516516
1632492878,-0.765087333,0.085208705,-0.07425474,0.091328929,-0.220131322,-0.138464293
1632492878,-0.85001841,0.08714136,-0.155960501,0.159722432,-0.07707947,0.057268807
1632492878,-0.826829035,0.11074046,0.080226974,0.026013926,-0.077110501,0.252171679
1632492878,-1.110927678,0.167762792,0.062527685,-0.110790933,0.057093555,0.708872832
1632492878,-1.128590106,0.175561556,-0.164906486,0.044032316,0.670191874,0.440988514
1632492878,-1.067603173,0.216477246,0.381083561,-0.018860714,0.214920882,-0.011980802
1632492878,-1.072885128,0.176716048,-0.186648158,-0.055072216,0.154637111,0.105427792
1632492878,-1.061526715,0.180204028,-0.151325606,-0.066823629,0.19606285,0.004760235
1632492878,-1.042138733,0.1946286,0.096014061,-0.092684892,-0.019650367,0.022623883
1632492878,-0.929379788,0.180530156,0.193538569,-0.067209737,-0.433869833,0.002184401
1632492878,-0.744251305,0.128776341,-0.03969366,0.001832789,-0.352917246,-0.071040108
1632492878,-0.91164054,0.145946864,-0.157025648,0.058280867,-0.060057642,-0.050605809
1632492878,-0.893504778,0.142602933,-0.146922367,0.035385618,0.125479271,-0.004214695
1632492878,-0.959102086,0.158051905,-0.113382928,0.009958326,0.275658929,0.077527401
1632492878,-1.065400777,0.180577792,-0.115027274,0.011134943,0.487006067,0.088832792
1632492878,-1.126091266,0.198762552,-0.07326062,-0.04347142,0.529996311,0.06008659
1632492878,-1.161305739,0.216153527,0.031347213,-0.069009444,0.393562095,0.086831601
1632492878,-1.180385914,0.227912002,0.074502211,-0.06757596,0.129436454,0.170874327
1632492878,-1.118643077,0.220134628,0.011168275,0.002082604,-0.013419418,0.219635408
1632492879,-1.022308336,0.204410905,-0.042055796,0.004639454,-0.074017173,0.136708291
1632492879,-0.961512925,0.193666976,-0.051152651,-0.03271168,-0.071234036,-0.003538706
1632492879,-0.927684879,0.187267518,-0.015797724,-0.046261752,-0.124243321,-0.081249809
1632492879,-0.90726829,0.178677109,-0.0247742,-0.017704957,-0.109592947,-0.154827919
1632492879,-0.934698901,0.175323508,-0.088911397,0.021974009,0.04536517,-0.157173652
1632492879,-0.898980584,0.170824761,-0.01044593,0.023854331,-0.102482086,0.023968149
1632492879,-0.860816008,0.162987973,-0.070059298,-0.039557794,-0.257051872,0.196758029
1632492879,-0.861832131,0.163973932,-0.151141322,-0.057931133,-0.122053453,0.197496364
1632492879,-0.920987949,0.184144948,-0.109484002,-0.079531855,0.038760199,0.16252291
1632492879,-0.914618224,0.197554902,0.078144014,-0.057681219,-0.004545484,0.101822607
1632492879,-0.912111443,0.195451548,0.093104723,0.032615007,-0.19420736,-0.243746084
1632492879,-0.91390308,0.182645673,-0.020283974,0.025925538,-0.242799089,-0.168884926
1632492879,-0.821819254,0.162013782,0.023421234,-0.012863623,-0.364796757,-0.125534092
1632492879,-0.743161796,0.146119704,0.026008305,-0.098747972,-0.509496528,0.122967797
1632492879,-0.714279337,0.138664301,-0.097233225,-0.091097333,-0.405596705,0.386243701
1632492879,-0.685508057,0.135936353,-0.172365505,-0.060290218,-0.186475646,0.280581285
1632492879,-0.729523261,0.154959741,-0.101083142,-0.017736798,-0.040662782,0.147393169
1632492879,-0.761739888,0.170521273,0.008437008,0.094359459,-0.110639764,0.005672553
1632492879,-0.798484188,0.176006363,-0.012724098,0.234537225,-0.078150379,-0.094104074
1632492879,-0.812919133,0.169540365,-0.068345513,0.274706621,0.049767443,-0.286439977
1632492879,-0.878664198,0.172175931,-0.070049008,0.331514242,0.154297645,-0.444261037
1632492879,-0.89335558,0.167253408,-0.039403558,0.414994782,0.247635355,-0.257714531
1632492879,-0.916411171,0.172962925,0.000901553,0.52262168,0.264286067,0.025484953
1632492879,-0.848698667,0.166239486,0.024556394,0.497453619,0.069146017,0.122602786
