Sec,NanoSec,0-ref Sec,w_left,w_right
1632492909,214965234,40.39259481,6.056935191,0.908540279
1632492909,325534005,40.50316358,6.056935191,3.81586917
1632492909,423645664,40.60127521,6.056935191,6.056935191
1632492909,523467455,40.70109701,6.056935191,6.056935191
1632492909,622463218,40.8000927,6.056935191,6.056935191
1632492909,721224270,40.89885378,6.056935191,6.056935191
1632492909,820336687,40.99796605,6.056935191,5.572380376
1632492909,919596891,41.09722638,6.056935191,2.84675954
1632492910,17997667,41.19562721,5.996365839,1.090248334
1632492910,117157958,41.29478741,6.056935191,0.847970927
1632492910,215983327,41.39361286,6.056935191,2.422774076
1632492910,314954987,41.49258447,6.056935191,4.845548153
1632492910,425405557,41.60303497,6.056935191,2.301635373
1632492910,523613007,41.70124245,6.056935191,0.847970927
1632492910,623564357,41.80119371,6.056935191,1.57480315
1632492910,722273632,41.89990306,6.056935191,2.786190188
1632492910,821364561,41.99899411,6.056935191,5.027256208
1632492910,920088815,42.09771824,5.39067232,6.056935191
1632492911,19333766,42.19696331,2.725620836,6.056935191
1632492911,118042688,42.29567218,3.876438522,4.542701393
1632492911,217094481,42.39472389,2.422774076,2.422774076
1632492911,316077775,42.49370718,2.241066021,6.056935191
1632492911,414985515,42.59261489,1.27195639,5.996365839
1632492911,525611814,42.70324135,1.029678982,6.056935191
1632492911,624571154,42.80220056,0,5.996365839
1632492911,723355386,42.90098476,0.181708056,5.39067232
1632492911,822260260,42.99988961,0.30284676,1.57480315
1632492911,921455037,43.09908462,2.241066021,3.331314355
1632492912,19814621,43.1974442,4.603270745,4.603270745
1632492912,119153076,43.29678249,6.056935191,6.056935191
1632492912,218128651,43.39575815,6.056935191,5.027256208
1632492912,317029141,43.49465871,4.239854634,4.239854634
1632492912,416097468,43.59372687,2.422774076,2.422774076
1632492912,514917461,43.69254684,2.241066021,6.056935191
1632492912,625578973,43.80320835,2.301635373,6.056935191
1632492912,724406739,43.90203619,2.54391278,6.056935191
1632492912,823339891,44.00096941,5.08782556,6.056935191
1632492912,922371694,44.1000011,4.239854634,4.239854634
1632492913,21308695,44.19893813,2.422774076,2.422774076
1632492913,120271855,44.29790139,3.694730466,4.724409449
1632492913,219264037,44.3968935,5.027256208,6.056935191
1632492913,318283317,44.49591279,5.330102968,6.056935191
1632492913,417124151,44.5947535,6.056935191,6.056935191
1632492913,515969214,44.69359875,6.056935191,6.056935191
1632492913,615100548,44.79273009,4.239854634,4.239854634
1632492913,725441911,44.9030714,2.422774076,2.422774076
1632492913,825752335,45.00338173,0.605693519,0.605693519
1632492913,923451468,45.10108089,0,0
1632492914,22283821,45.19991326,1.817080557,1.817080557
1632492914,616075366,45.79370475,6.056935191,6.056935191
1632492914,924492765,46.10212231,6.056935191,5.027256208
1632492915,518100349,46.69572973,6.056935191,6.056935191
1632492915,617013366,46.79464293,6.056935191,6.056935191
1632492916,24543899,47.20217347,6.056935191,6.056935191
1632492916,618060006,47.79568958,6.056935191,6.056935191
1632492916,717022525,47.89465189,6.056935191,5.208964264
1632492916,914886202,48.09251571,6.056935191,3.937007874
1632492917,25607958,48.20323753,5.996365839,3.876438522
1632492917,322343994,48.49997354,6.056935191,6.056935191
1632492917,421391754,48.5990212,5.996365839,6.056935191
1632492917,619275782,48.79690528,5.148394912,6.056935191
1632492918,224349576,49.40197897,6.056935191,6.056935191
1632492918,422648829,49.60027838,6.056935191,6.056935191
1632492918,521255953,49.69888544,6.056935191,6.056935191
1632492918,719055645,49.89668512,6.056935191,6.056935191
1632492918,818262363,49.99589181,6.056935191,6.056935191
1632492919,114963159,50.29259253,6.056935191,6.056935191
1632492919,522370683,50.70000005,6.056935191,6.056935191
1632492919,720324139,50.89795351,6.056935191,6.056935191
1632492920,215000995,51.39263058,6.056935191,5.693519079
1632492920,325410145,51.5030396,6.056935191,5.996365839
1632492920,523298338,51.70092773,6.056935191,4.966686856
1632492920,721327246,51.89895678,6.056935191,5.814657783
1632492920,820258053,51.99788761,6.056935191,5.814657783
1632492920,919114355,52.09674382,6.056935191,5.814657783
1632492921,314896172,52.49252558,4.724409449,6.056935191
1632492921,722419594,52.90004897,2.84675954,5.572380376
1632492921,821200247,52.9988296,2.362204724,2.362204724
1632492921,920154443,53.0977838,0.545124167,0.545124167
1632492922,623866653,53.80149603,6.056935191,2.301635373
1632492923,119112463,54.29674196,6.056935191,6.056935191
1632492923,416039580,54.59366894,6.056935191,4.058146578
1632492923,625439664,54.80306911,4.058146578,6.056935191
1632492924,219175907,55.39680529,6.056935191,6.056935191
1632492924,417028496,55.5946579,6.056935191,6.056935191
1632492924,515949777,55.6935792,5.511811024,6.056935191
1632492924,725525787,55.90315533,5.148394912,6.056935191
1632492924,824358944,56.00198841,4.845548153,6.056935191
1632492925,517203364,56.6948328,6.056935191,6.056935191
1632492925,715002560,56.89263201,6.056935191,6.056935191
1632492925,924448198,57.10207772,6.056935191,3.997577226
1632492927,716977161,58.89460659,6.056935191,6.056935191
1632492928,223531442,59.40116096,3.270745003,5.996365839
1632492928,322400530,59.50003004,2.54391278,6.056935191
1632492929,125309401,60.30293894,-4.482132041,4.482132041
1632492929,422353686,60.59998322,-0.605693519,0.605693519
1632492929,521119469,60.69874883,0,0
1632492929,620066872,60.79769635,0,0
1632492929,818137886,60.99576735,0,0
1632492930,225777951,61.40340734,1.938219261,-1.938219261
1632492930,621296887,61.79892635,0,0
1632492930,720143656,61.89777303,1.998788613,1.57480315
1632492931,424540298,62.60216975,0.847970927,0.847970927
1632492932,524437359,63.7020669,1.332525742,6.056935191
1632492933,822337622,64.9999671,1.877649909,1.695941853
1632492934,218028513,65.39565802,6.056935191,6.056935191
1632492934,415934071,65.59356356,2.422774076,2.422774076
1632492934,823420642,66.00105,0,0
1632492935,219434973,66.39706445,-2.180496669,-2.180496669
1632492935,615888606,66.79351807,-5.693519079,0.847970927
1632492935,725461127,66.90309072,-5.875227135,1.27195639
1632492936,22362871,67.19999242,2.180496669,-2.180496669
1632492936,220289219,67.3979187,0.060569352,-4.360993337
1632492936,616055139,67.79368472,-1.211387038,-3.573591763
1632492937,23334484,68.20096397,-2.422774076,-2.422774076
1632492937,419290892,68.59692025,2.422774076,-5.330102968
1632492938,222519388,69.40014887,3.210175651,-5.814657783
1632492938,420247452,69.59787703,3.149606299,-5.875227135
1632492939,421221865,70.59885144,6.056935191,2.907328892
1632492939,718105836,70.89573526,6.056935191,2.059357965
1632492940,15005235,71.19263482,0.545124167,0.545124167
1632492940,422219500,71.59984899,5.451241672,5.451241672
1632492941,17016707,72.19464612,0,0
1632492941,423343010,72.60097241,5.39067232,5.39067232
1632492941,819163452,72.99679303,4.239854634,4.239854634
1632492942,17080576,73.19471002,0.605693519,0.605693519
1632492942,622398151,73.80002761,0,0
1632492943,722296894,74.89992642,3.694730466,6.056935191
1632492943,821479549,74.99910903,2.422774076,5.996365839
1632492944,118123224,75.29575276,2.362204724,2.362204724
1632492944,525543225,75.70317268,5.996365839,5.996365839
1632492944,723485104,75.90111446,2.362204724,2.362204724
1632492944,822356736,75.99998617,0.545124167,0.545124167
1632492944,921322038,76.09895158,0,0
1632492945,724534701,76.90216422,6.056935191,2.604482132
1632492946,21326468,77.19895601,0,0
1632492946,725571587,77.9032011,2.362204724,1.211387038
1632492948,23493110,79.20112252,2.422774076,2.422774076
1632492948,717018280,79.89464784,0,0
1632492948,925583807,80.10321331,6.056935191,-0.181708056
1632492949,123491915,80.30112147,6.056935191,1.150817686
1632492949,519116203,80.69674563,0,0
1632492949,717995107,80.89562464,3.755299818,-0.121138704
1632492950,124395753,81.30202532,1.817080557,1.817080557
1632492950,223254481,81.40088391,0,0
1632492950,322198674,81.4998281,3.755299818,-0.121138704
1632492951,323987780,82.50161719,3.573591763,3.573591763
1632492951,422170440,82.59979987,5.451241672,5.451241672
1632492951,918098256,83.09572768,0,0
1632492952,16247936,83.19387746,3.755299818,-0.121138704
1632492952,523134986,83.70076442,2.362204724,2.362204724
1632492952,918190272,84.09581971,6.056935191,2.059357965
1632492953,216052761,84.39368224,2.362204724,2.362204724
1632492953,325347349,84.50297689,0.605693519,0.605693519
1632492953,721268339,84.89889789,6.056935191,1.211387038
1632492954,524460172,85.70208955,3.573591763,3.573591763
1632492954,821220726,85.99885011,6.056935191,6.056935191
1632492955,118265668,86.2958951,4.179285282,4.179285282
1632492955,317171794,86.49480128,0.969109631,0.969109631
1632492955,415886581,86.59351611,0.847970927,4.724409449
1632492955,723537454,86.90116692,6.056935191,6.056935191
1632492956,119206064,87.29683542,0.545124167,0.545124167
