Sec,NanoSec,0-ref Sec,a_x,a_y,a_z,w_x,w_y,w_z
1632492881,473421568,12.75718093,-0.588550086,-3.031467298,-9.116387516,0.11398451,0.549572051,-0.189665452
1632492881,483433728,12.76719308,-1.195700023,-2.722915436,-9.3210222,0.198792055,0.550311089,-0.167165622
1632492881,493447936,12.77720737,-1.557652344,-2.26411719,-10.07220998,0.224814087,0.55376184,-0.149958014
1632492881,503464192,12.78722358,-1.89379247,-1.929459119,-10.53370638,0.201649845,0.552099347,-0.129075333
1632492881,513476608,12.79723597,-2.005104435,-1.558607014,-10.69337321,0.140719131,0.553790867,-0.099745385
1632492881,523490560,12.80725002,-1.975565621,-1.406582077,-10.13844917,0.057868674,0.549791455,-0.07187558
1632492881,533506816,12.81726623,-1.760158345,-1.313299252,-9.151258923,-0.013658714,0.549512684,-0.047643576
1632492881,543519232,12.82727861,-1.312238344,-1.145792814,-8.887421524,-0.073211931,0.54599601,-0.032119501
1632492881,553533184,12.83729243,-1.053950616,-0.841319599,-8.239467903,-0.112856068,0.546141267,-0.027318142
1632492881,563549184,12.84730864,-0.609706381,-0.744661744,-8.077049728,-0.128208295,0.546433568,-0.026978148
1632492881,573561088,12.85732055,-0.189318621,-0.849646552,-8.85467427,-0.083592907,0.551654518,-0.022728771
1632492881,583575296,12.8673346,-0.69547072,-0.686579704,-10.13008467,0.052673291,0.556448102,-0.007423813
1632492881,593591552,12.87735081,-1.422904413,-0.028918314,-10.74490934,0.224730521,0.564009845,0.002145188
1632492881,603603712,12.88736296,-1.567732132,0.506344096,-11.71149461,0.4095034,0.569598615,0.029232517
1632492881,613617920,12.89737725,-2.166015274,1.215184257,-12.04547288,0.551768541,0.574417353,0.053209528
1632492881,623634176,12.90739346,-2.456132339,1.700134962,-12.80765903,0.612124979,0.57562387,0.076555558
1632492881,633646336,12.91740561,-2.672354585,2.241977693,-13.40339556,0.607709348,0.567610085,0.083189726
1632492881,643660544,12.9274199,-2.099157368,2.194669999,-12.72257369,0.530264676,0.562349677,0.066088371
1632492881,653676544,12.93743587,-0.729335434,2.267646534,-10.95385838,0.435284346,0.550484836,0.034392141
1632492881,665692416,12.94945168,0.444380355,1.744186723,-8.183394134,0.336443216,0.545996189,-0.006375954
1632492881,675704320,12.9594636,1.410845726,0.990600498,-6.761200354,0.25970611,0.543064833,-0.038155131
1632492881,685718016,12.96947742,1.71770832,0.682888594,-5.725072761,0.209149212,0.54341203,-0.059602566
1632492881,695733760,12.97949314,1.96503166,0.605546083,-6.397382239,0.150972813,0.543387532,-0.07798034
1632492881,705745664,12.98950505,1.887955727,0.465292393,-7.631304441,0.077509485,0.54293263,-0.096089706
1632492881,715759616,12.99951887,1.603247536,0.006028964,-8.740463953,-0.016096875,0.541349351,-0.105385818
1632492881,725775360,13.0095346,1.406275495,-1.021191452,-9.654756726,-0.114681415,0.540571332,-0.10184554
1632492881,735787264,13.01954651,0.959912588,-1.896538262,-9.184374426,-0.199257836,0.536581755,-0.085343659
1632492881,745801216,13.02956057,0.703428036,-2.370705926,-9.358828491,-0.280008733,0.537132263,-0.063170962
1632492881,755816704,13.03957605,0.463204189,-2.718656902,-9.128481858,-0.37435931,0.534193039,-0.039704345
1632492881,765828608,13.04958797,0.216257481,-2.877209926,-8.6313419,-0.472813785,0.53441304,-0.012112211
1632492881,775842048,13.05960131,0.165191348,-3.016637978,-8.145709423,-0.563393056,0.529934943,0.019743755
1632492881,785857792,13.06961703,0.016670021,-2.77386061,-7.335238259,-0.666034341,0.529614151,0.052833624
1632492881,795869696,13.07962894,0.005217633,-2.301354742,-6.662902477,-0.761929035,0.524421275,0.084713407
1632492881,805883392,13.08964276,-0.180930732,-2.240561835,-7.052890221,-0.84424293,0.528470397,0.107343256
1632492881,815898880,13.09965825,-0.883872866,-2.939768673,-9.71150328,-0.886186838,0.523453772,0.125641778
1632492881,825910784,13.10967016,-1.561462404,-2.981037964,-13.9121108,-0.78574729,0.526361763,0.130447939
1632492881,835924224,13.1196835,-1.767991231,-2.962124882,-17.0258367,-0.475015551,0.527323544,0.111794606
1632492881,845939968,13.12969923,-1.93753312,-1.373464528,-16.98142122,-0.0913174,0.539172888,0.078918889
1632492881,855951616,13.1397109,-1.580248207,0.436990136,-14.5882226,0.222890049,0.544714689,0.052906841
1632492881,865965312,13.14972472,-1.161786867,1.712323412,-11.46541089,0.375779688,0.550265253,0.038864736
1632492881,875986944,13.15974641,-0.56884388,3.613732349,-8.686841084,0.321196944,0.546397805,0.036338076
1632492881,886004480,13.1697638,0.057776075,4.926813428,-8.55991917,0.156235918,0.547503352,0.045879845
1632492881,896018176,13.17977762,0.157503113,5.09710745,-7.906622435,-0.068343602,0.538626373,0.054655794
1632492881,906033920,13.18979335,0.306688078,4.847783146,-7.583337406,-0.283388734,0.540373266,0.05977406
1632492881,916045568,13.19980502,0.075565825,3.911152576,-7.232352469,-0.433708459,0.538260579,0.063999459
1632492881,926059264,13.2098186,-0.519729246,2.177999873,-7.762820697,-0.514260948,0.543340087,0.069222264
1632492881,936074752,13.21983409,-1.230543665,0.966683032,-9.845746331,-0.499373168,0.541390061,0.074445248
1632492881,946086144,13.22984552,-2.102894071,1.435139917,-12.06129706,-0.383561462,0.543686569,0.055680547
1632492881,956099584,13.23985887,-2.078989025,1.457254864,-13.44554426,-0.214837164,0.540837646,0.022582779
1632492881,966115072,13.24987435,-1.402623841,0.942294148,-12.70825524,-0.032606553,0.540270269,0.011670632
1632492881,976126720,13.25988603,-0.592722074,1.027278809,-10.4815378,0.11807695,0.541183829,0.022447728
1632492881,986140416,13.26989985,0.122592324,1.070536132,-9.06455796,0.192591578,0.539868414,0.038926188
1632492881,996156160,13.27991557,0.456954992,1.37231755,-8.235410737,0.226242751,0.538529456,0.060619123
1632492882,6167552,13.28992701,0.864849966,1.396303114,-8.183417515,0.242425799,0.537482202,0.082630113
1632492882,16180736,13.29994011,1.059000008,1.223300416,-7.633894458,0.241181985,0.53418988,0.107981414
1632492882,26195968,13.30995536,1.150333014,1.178294715,-7.422716051,0.252313375,0.534315169,0.128590271
1632492882,36207360,13.31996679,0.933857963,1.089467627,-7.706859156,0.273168683,0.539754868,0.139760062
1632492882,46220800,13.32998013,0.381039298,1.258511723,-8.42364549,0.284974605,0.539139509,0.137777597
1632492882,56236032,13.33999538,-0.161330818,1.533074222,-9.958037662,0.305696219,0.54194051,0.130041972
1632492882,66247424,13.35000682,-0.740781177,2.252043452,-11.88690028,0.283609331,0.542562902,0.130149409
1632492882,76260864,13.36002016,-1.155283769,2.939195549,-12.52269292,0.20280908,0.542706668,0.143904895
1632492882,86276096,13.37003541,-1.017533733,2.644344296,-12.1582634,0.113125816,0.538915038,0.169342279
1632492882,96287232,13.38004661,-0.962868807,2.760308178,-10.34577675,0.023349795,0.540262043,0.193771631
1632492882,106300416,13.39005971,-1.148679037,2.418894203,-9.112493431,-0.039323784,0.539425671,0.214706525
1632492882,116315648,13.40007496,-1.421175251,1.774392622,-8.144040029,-0.074148051,0.54289645,0.245816126
1632492882,126326784,13.41008615,-1.314492553,0.954541855,-7.662233833,-0.10216786,0.544172883,0.277547687
1632492882,136339968,13.42009926,-1.34525521,0.734268434,-7.764881137,-0.114675,0.548615277,0.310676068
1632492882,146354944,13.43011427,-1.284277301,0.325803149,-7.741750437,-0.116656676,0.546434104,0.346212864
1632492882,156366336,13.4401257,-0.934260479,-0.007885856,-8.036609581,-0.118642062,0.551745057,0.384644985
1632492882,166379520,13.45013881,-0.621542291,0.093993458,-8.227440196,-0.122022502,0.551658034,0.426441431
1632492882,176394752,13.46015406,-0.250701018,0.2947728,-9.564424713,-0.154289752,0.55547446,0.475767702
1632492882,186405888,13.47016525,-0.153295122,0.158112751,-10.52237367,-0.213189065,0.550607741,0.527326047
1632492882,196418816,13.48017812,-0.077466074,-0.391576803,-11.98457272,-0.278612286,0.550325096,0.581052125
1632492882,206434048,13.49019337,-0.221597838,-0.996376744,-13.56495741,-0.314456344,0.543594778,0.625325382
1632492882,216445440,13.5002048,-0.27204858,-1.361213242,-14.00653447,-0.290699869,0.539335668,0.652347565
1632492882,226458368,13.51021767,0.457145802,-1.212759587,-13.19776076,-0.212017536,0.528129518,0.656562507
1632492882,236473600,13.52023292,1.391353236,-0.945635348,-10.86856261,-0.139892057,0.526010573,0.642196417
1632492882,246484992,13.53024435,2.080067614,-0.442676547,-8.886900715,-0.098168261,0.521179378,0.620984018
1632492882,256497920,13.54025722,1.987202283,-0.250915227,-7.283499304,-0.062781207,0.526997507,0.599214494
1632492882,266512896,13.55027223,2.1793168,-0.246227435,-6.557506166,-0.056336921,0.528467774,0.574105859
1632492882,276523776,13.56028318,1.992434046,-0.059272109,-6.60200231,-0.073898293,0.533673763,0.540337205
1632492882,286536960,13.57029629,1.451646377,-0.032004409,-7.4391984,-0.100495771,0.534268737,0.488596141
1632492882,296558080,13.5803175,0.948111091,0.015095642,-9.374844391,-0.121357448,0.533996999,0.421361625
1632492882,306574848,13.59033418,0.327675701,0.077436492,-11.01097552,-0.120288178,0.53134805,0.338884592
1632492882,316587776,13.60034704,0.120390823,0.096795711,-12.02231763,-0.075082146,0.530435741,0.24359791
1632492882,326603008,13.61036229,0.29855177,-0.24529262,-11.9708119,-0.001838717,0.522958696,0.15136537
1632492882,336614144,13.62037349,1.24697969,-0.411143747,-9.965104532,0.070423126,0.524917245,0.06892287
1632492882,346627328,13.63038659,1.958518625,-0.460756467,-8.227170147,0.159742743,0.528911769,9.57E-05
1632492882,356642304,13.6404016,1.634749174,-0.655177288,-7.383797999,0.266396791,0.535134912,-0.054684624
1632492882,366653184,13.65041256,0.820695913,-0.536733937,-7.534432213,0.381222785,0.539046288,-0.084485903
1632492882,376666112,13.66042542,-0.064075879,-0.34515824,-7.30692168,0.505973577,0.541994333,-0.093708403
