Sec,NanoSec,v_x,v_y,v_z,w_x,w_y,w_z
1632492876,449739694.6,-0.859114516,-0.039934346,0.066309854,0.149108306,-0.091885839,0.045215064
1632492876,482941150.7,-0.688134407,-0.032563822,0.068251108,0.216430393,-0.2800386,0.14911634
1632492876,516258239.7,-0.553089068,-0.03413754,0.101207371,0.16986962,-0.346188623,0.197115722
1632492876,549704551.7,-0.523455575,-0.017780248,0.06216862,0.089647643,-0.439484669,0.112968798
1632492876,599765300.8,-0.649039127,0.070439581,-0.247265228,0.39288149,-0.011177358,0.12995282
1632492876,649813175.2,-0.933881761,0.047907402,-0.151073342,0.720721142,0.329531753,0.124236182
1632492876,683012723.9,-0.900759503,-0.022274989,0.155913619,0.623044939,0.250930932,-0.010626933
1632492876,716253280.6,-0.728968019,0.01728755,-0.044008447,0.486894572,0.077355685,0.049189537
1632492876,749722719.2,-0.571023919,-0.007831996,0.091995739,0.632577083,-0.038986011,0.126513081
1632492876,782925605.8,-0.402257336,-0.038445795,0.298924177,0.301823277,-0.532753336,0.307766007
1632492876,816218376.2,-0.401453417,0.007989454,0.045743243,0.123702517,-0.611767929,0.350208855
1632492876,849658727.6,-0.650075481,0.092772515,-0.44020685,0.330360014,0.031271054,0.029093859
1632492876,882859706.9,-0.768697403,0.067048776,-0.227636923,0.520374443,0.22787576,0.230371397
1632492876,916180133.8,-0.854873247,0.037464646,0.05840484,0.706180249,0.265056796,-0.006509871
1632492876,949703216.6,-0.866021334,0.017027357,0.269615601,0.160121691,0.06323476,-0.072518012
1632492876,983004331.6,-0.943555007,0.042645049,0.027666864,-0.127217119,0.074976514,0.004350626
1632492877,16239166.26,-0.944883278,0.042669327,0.03339118,-0.080977244,-0.010400569,0.040091389
1632492877,49644708.63,-1.008712541,0.060339249,-0.09547515,0.080942093,0.216529355,0.090821092
1632492877,99627256.39,-0.930018133,0.051037544,-0.011085608,0.19817187,0.11859347,0.076338373
1632492877,166330337.5,-0.784071827,0.045011749,0.018076681,0.299570567,-0.071831786,0.090095398
1632492877,216375827.8,-0.82437329,0.054989995,-0.027871283,0.26957837,-0.033386419,0.143819558
1632492877,249648809.4,-0.809940671,0.056712808,-0.043136312,0.247277326,-0.017252975,0.011960899
1632492877,283079624.2,-0.84945762,0.060391449,-0.050161552,0.190449523,0.086814143,0.0640543
1632492877,316351175.3,-0.878521736,0.062913947,0.021316517,0.068799802,0.071653963,0.187338429
1632492877,349625587.5,-0.913683176,0.072625357,-0.057053815,-0.055503595,0.032791059,0.083337157
1632492877,383038759.2,-1.019808099,0.086789944,-0.103763357,-0.022697643,0.211042254,0.158431281
1632492877,416276693.3,-1.044119529,0.094677803,-0.014735781,0.132118701,0.334759738,0.413529424
1632492877,449636220.9,-0.98997576,0.101165969,-0.020904689,0.237963056,0.21103235,0.282853487
1632492877,483079433.4,-0.960336519,0.105824458,-0.018120796,0.282383624,0.078668217,0.215152223
1632492877,516372680.7,-0.896214338,0.101824489,-0.020838911,0.312626004,-0.027935847,-0.003366561
1632492877,549645423.9,-0.867677097,0.090399507,0.058646027,0.272101571,-0.074873661,-0.504508121
1632492877,582979679.1,-0.884334023,0.085897157,0.021135253,0.264397679,-0.042013722,0.054561742
1632492877,616265773.8,-0.830155104,0.084994051,-0.030060902,0.549052275,0.116990459,0.292576139
1632492877,649584770.2,-0.69873095,0.082457572,0.100489927,0.56066454,-0.17758399,0.309451263
1632492877,683042287.8,-0.631907063,0.076843468,-0.004221029,0.342447561,-0.222781135,0.225483576
1632492877,716332435.6,-0.620942921,0.076844976,-0.027969589,0.210760206,-0.262161557,0.064823059
1632492877,749575614.9,-0.629530395,0.075652515,-0.063880164,0.076003335,-0.299155656,-0.005511492
1632492877,783073186.9,-0.705548067,0.079309072,-0.114981743,0.050514895,-0.216370664,-0.146516516
1632492877,816391706.5,-0.765087333,0.085208705,-0.07425474,0.091328929,-0.220131322,-0.138464293
1632492877,849568367,-0.85001841,0.08714136,-0.155960501,0.159722432,-0.07707947,0.057268807
1632492877,899656295.8,-0.826829035,0.11074046,0.080226974,0.026013926,-0.077110501,0.252171679
1632492877,949716806.4,-1.110927678,0.167762792,0.062527685,-0.110790933,0.057093555,0.708872832
1632492877,983039856,-1.128590106,0.175561556,-0.164906486,0.044032316,0.670191874,0.440988514
1632492878,16399145.13,-1.067603173,0.216477246,0.381083561,-0.018860714,0.214920882,-0.011980802
