Sec,NanoSec,Sec_total,Left_vel,Right_vel
1.63E+09,6.21E+08,1.63E+09,1.9382,-1.9382
1.63E+09,7.20E+08,1.63E+09,5.6935,-2.0594
1.63E+09,8.19E+08,1.63E+09,6.0569,-0.66626
1.63E+09,9.18E+08,1.63E+09,6.0569,-2.5439
1.63E+09,1.70E+07,1.63E+09,5.3907,-3.6342
1.63E+09,1.16E+08,1.63E+09,6.0569,-2.7256
1.63E+09,2.15E+08,1.63E+09,6.0569,0.90854
1.63E+09,3.26E+08,1.63E+09,6.0569,3.8159
1.63E+09,4.24E+08,1.63E+09,6.0569,6.0569
1.63E+09,5.23E+08,1.63E+09,6.0569,6.0569
1.63E+09,6.22E+08,1.63E+09,6.0569,6.0569
1.63E+09,7.21E+08,1.63E+09,6.0569,6.0569
1.63E+09,8.20E+08,1.63E+09,6.0569,5.5724
1.63E+09,9.20E+08,1.63E+09,6.0569,2.8468
1.63E+09,1.80E+07,1.63E+09,5.9964,1.0902
1.63E+09,1.17E+08,1.63E+09,6.0569,0.84797
1.63E+09,2.16E+08,1.63E+09,6.0569,2.4228
1.63E+09,3.15E+08,1.63E+09,6.0569,4.8455
1.63E+09,4.25E+08,1.63E+09,6.0569,2.3016
1.63E+09,5.24E+08,1.63E+09,6.0569,0.84797
1.63E+09,6.24E+08,1.63E+09,6.0569,1.5748
1.63E+09,7.22E+08,1.63E+09,6.0569,2.7862
1.63E+09,8.21E+08,1.63E+09,6.0569,5.0273
1.63E+09,9.20E+08,1.63E+09,5.3907,6.0569
1.63E+09,1.93E+07,1.63E+09,2.7256,6.0569
1.63E+09,1.18E+08,1.63E+09,3.8764,4.5427
1.63E+09,2.17E+08,1.63E+09,2.4228,2.4228
1.63E+09,3.16E+08,1.63E+09,2.2411,6.0569
1.63E+09,4.15E+08,1.63E+09,1.272,5.9964
1.63E+09,5.26E+08,1.63E+09,1.0297,6.0569
1.63E+09,6.25E+08,1.63E+09,0,5.9964
1.63E+09,7.23E+08,1.63E+09,0.18171,5.3907
1.63E+09,8.22E+08,1.63E+09,0.30285,1.5748
1.63E+09,9.21E+08,1.63E+09,2.2411,3.3313
1.63E+09,1.98E+07,1.63E+09,4.6033,4.6033
1.63E+09,1.19E+08,1.63E+09,6.0569,6.0569
1.63E+09,2.18E+08,1.63E+09,6.0569,5.0273
1.63E+09,3.17E+08,1.63E+09,4.2399,4.2399
1.63E+09,4.16E+08,1.63E+09,2.4228,2.4228
1.63E+09,5.15E+08,1.63E+09,2.2411,6.0569
1.63E+09,6.26E+08,1.63E+09,2.3016,6.0569
1.63E+09,7.24E+08,1.63E+09,2.5439,6.0569
1.63E+09,8.23E+08,1.63E+09,5.0878,6.0569
1.63E+09,9.22E+08,1.63E+09,4.2399,4.2399
1.63E+09,2.13E+07,1.63E+09,2.4228,2.4228
1.63E+09,1.20E+08,1.63E+09,3.6947,4.7244
1.63E+09,2.19E+08,1.63E+09,5.0273,6.0569
1.63E+09,3.18E+08,1.63E+09,5.3301,6.0569
1.63E+09,4.17E+08,1.63E+09,6.0569,6.0569
1.63E+09,5.16E+08,1.63E+09,6.0569,6.0569
1.63E+09,6.15E+08,1.63E+09,4.2399,4.2399
1.63E+09,7.25E+08,1.63E+09,2.4228,2.4228
1.63E+09,8.26E+08,1.63E+09,0.60569,0.60569
1.63E+09,9.23E+08,1.63E+09,0,0
1.63E+09,2.23E+07,1.63E+09,1.8171,1.8171
1.63E+09,6.16E+08,1.63E+09,6.0569,6.0569
1.63E+09,9.24E+08,1.63E+09,6.0569,5.0273
1.63E+09,5.18E+08,1.63E+09,6.0569,6.0569
1.63E+09,6.17E+08,1.63E+09,6.0569,6.0569
1.63E+09,2.45E+07,1.63E+09,6.0569,6.0569
1.63E+09,6.18E+08,1.63E+09,6.0569,6.0569
1.63E+09,7.17E+08,1.63E+09,6.0569,5.209
1.63E+09,9.15E+08,1.63E+09,6.0569,3.937
1.63E+09,2.56E+07,1.63E+09,5.9964,3.8764
1.63E+09,3.22E+08,1.63E+09,6.0569,6.0569
