t,X,Y,Z,qW,qX,qY,qZ
219.5,-0.197138769574136,-2.15111954162112,-0.138285653166662,-0.000226245610387047,0.198697382213158,0.119648333138185,0.972729960210846
219.6,-0.197138769501586,-2.15111954156558,-0.138285653000592,-0.000226245610387047,0.198697382213158,0.119648333138185,0.972729960210846
219.6,-0.197138769445779,-2.15111954152286,-0.138285652872845,-0.000226245610387047,0.198697382213158,0.119648333138185,0.972729960210846
219.7,-0.19713876937881,-2.15111954147159,-0.13828565271955,-0.000226245610387047,0.198697382213158,0.119648333138185,0.972729960210846
219.7,-0.197138769306261,-2.15111954141606,-0.13828565255348,-0.000226245610387047,0.198697382213158,0.119648333138185,0.972729960210846
219.8,-0.197138769239292,-2.15111954136479,-0.138285652400184,-0.000226245610387047,0.198697382213158,0.119648333138185,0.972729960210846
219.8,-0.197138769177904,-2.1511195413178,-0.138285652259664,-0.000226245610387047,0.198697382213158,0.119648333138185,0.972729960210846
219.9,-0.197138769099774,-2.15111954125799,-0.138285652080819,-0.000226245610387047,0.198697382213158,0.119648333138185,0.972729960210846
219.9,-0.197138769038386,-2.15111954121099,-0.138285651940298,-0.000226245610387047,0.198697382213158,0.119648333138185,0.972729960210846
220,-0.197304867306096,-2.15111122893017,-0.138243858302242,-0.000226245610387047,0.198697382213158,0.119648333138185,0.972729960210846
220,-0.197097297669569,-2.15126253138174,-0.138279425701198,-0.00017063365580432,0.198564001909004,0.119910049656381,0.972724980671011
220.1,-0.19690092703465,-2.1512719296006,-0.13836650228885,-0.000289374496015377,0.198578637886712,0.119885809993398,0.972724952594341
220.2,-0.19688147934134,-2.1514069155103,-0.138325728286552,-0.000289374496015377,0.198578637886712,0.119885809993398,0.972724952594341
220.2,-0.196895712925635,-2.15145927706285,-0.138299767767634,-0.000289374496015377,0.198578637886712,0.119885809993398,0.972724952594341
220.2,-0.196900903928774,-2.15147837338095,-0.138290299772307,-0.000289374496015377,0.198578637886712,0.119885809993398,0.972724952594341
220.3,-0.196883930611057,-2.15146551479053,-0.13831704711976,-0.00026010549168321,0.198816113639409,0.119885877068591,0.972676442493559
220.3,-0.197071916287809,-2.15118334647537,-0.138322428581564,-0.000180275798109434,0.198682722513704,0.120028861594881,0.972686082793104
220.4,-0.197060891025689,-2.15119779327141,-0.138357258340471,-0.000189867598030501,0.198801462629238,0.120147588918486,0.972647160733954
220.4,-0.197155810617291,-2.15110504653021,-0.138442186892043,-0.000578027294568993,0.198593200673824,0.120692628241989,0.972622072553667
220.5,-0.197090458977504,-2.15094069672217,-0.138425770897611,-0.000641244287066658,0.198474352859346,0.120930024244592,0.972616804964323
220.5,-0.197123051205281,-2.15088366136804,-0.138397696989231,-0.000886798396095238,0.19855297642431,0.120951127289382,0.972597940543294
