id,t,w_l,w_r
e,71.9965932369232,3.75529981829194,1.5748031496063
e,72.1966354846954,3.21017565112053,1.21138703815869
e,72.2929184436798,3.81586917019988,1.69594185342217
e,72.4028370380402,4.42156268927922,2.30163537250151
e,72.4907612800598,3.1496062992126,1.02967898243489
e,72.5894117355347,3.1496062992126,1.02967898243489
e,72.6989886760712,3.1496062992126,1.02967898243489
e,72.9964289665222,2.96789824348879,0.969109630526953
e,73.3047294616699,2.24106602059358,0.302846759539673
e,73.3943903446198,2.60448213204119,0.726832222895215
e,73.4917595386505,2.60448213204119,0.78740157480315
e,73.5907065868378,2.18049666868564,0.363416111447607
e,73.6894211769104,2.18049666868564,0.605693519079346
e,73.7993035316467,2.18049666868564,1.21138703815869
e,73.8979609012604,3.45245305875227,3.45245305875227
e,73.9978659152985,5.33010296789824,5.33010296789824
e,74.1959505081177,5.45124167171411,5.45124167171411
e,74.3937072753906,4.7244094488189,4.7244094488189
e,74.4926364421844,4.60327074500303,4.60327074500303
e,74.5914981365204,4.60327074500303,4.60327074500303
e,74.701024055481,5.81465778316172,5.81465778316172
e,74.8008344173431,5.57238037552998,5.57238037552998
e,74.8991074562073,4.7244094488189,4.7244094488189
e,74.9989686012268,3.75529981829194,4.05814657783162
e,75.0969343185425,1.5748031496063,2.60448213204119
e,75.1964244842529,0.78740157480315,1.69594185342217
e,75.306797504425,1.81708055723804,2.90732889158086
e,75.5930964946747,3.75529981829194,4.84554815263477
e,75.6917097568512,3.57359176256814,5.02725620835857
e,75.7904648780823,1.63537250151423,3.3313143549364
e,76.0000510215759,0,0
e,76.1002011299133,0,0
e,76.1972200870514,0,0
e,76.2972509860992,0,0
e,76.3969886302948,0,0
e,76.4941053390503,0,0
e,76.593674659729,0,0
e,76.6925337314606,0,0
e,76.7916917800903,0,0
e,76.8902008533478,0,0
e,76.9893662929535,0,0
e,77.1029074192047,0,0
e,77.198166847229,0,0
e,77.2974557876587,0,0
e,77.3993637561798,0,0
e,77.4997880458832,0,0
e,77.599081993103,0,0
e,77.6934571266174,0,0
e,77.7926845550537,0,0
e,77.8919312953949,0,0
e,78.1997091770172,0,0
e,78.2984762191772,0,0
e,78.3972687721252,0,0
e,78.4995231628418,0,0
e,78.6020505428314,0,0
e,78.6946616172791,0,0
e,78.7935419082642,0,0
e,78.8930048942566,0,0
e,78.9917471408844,0,0
e,79.0907847881317,0,0
e,79.1895236968994,0,0
e,79.2993974685669,0,0
e,79.501179933548,0,0
e,79.6959204673767,0,0
e,79.7948279380798,0,0
e,79.8939146995544,1.69594185342217,1.69594185342217
e,79.9928345680237,3.57359176256814,3.57359176256814
e,80.0918424129486,5.39067231980618,5.39067231980618
e,80.1906592845917,6.05693519079346,6.05693519079346
e,80.2894673347473,6.05693519079346,6.05693519079346
e,80.3991253376007,6.05693519079346,6.05693519079346
e,80.696400642395,6.05693519079346,6.05693519079346
e,80.7968194484711,6.05693519079346,6.05693519079346
e,80.8949174880981,6.05693519079346,6.05693519079346
e,81.2905738353729,6.05693519079346,2.66505148394912
e,81.3894863128662,6.05693519079346,2.96789824348879
e,81.4999165534973,6.05693519079346,5.81465778316172
e,81.5987071990967,6.05693519079346,6.05693519079346
e,81.6976540088654,6.05693519079346,6.05693519079346
e,81.9948589801788,0.726832222895215,0.726832222895215
e,82.093416929245,1.27195639006663,1.27195639006663
e,82.1927220821381,1.3930950938825,1.3930950938825
e,82.2916467189789,1.93821926105391,1.93821926105391
e,82.3904492855072,3.75529981829194,3.75529981829194
e,82.4893269538879,4.60327074500303,4.60327074500303
e,82.5992121696472,4.7244094488189,4.7244094488189
e,82.698548078537,5.45124167171411,5.45124167171411
e,82.797126531601,5.14839491217444,5.14839491217444
e,82.8969094753265,5.99636583888552,5.99636583888552
e,82.9965515136719,5.69351907934585,5.69351907934585
e,83.1940310001373,5.45124167171411,5.45124167171411
e,83.292195558548,5.45124167171411,5.45124167171411
e,83.3916621208191,5.14839491217444,5.14839491217444
e,83.4906017780304,3.39188370684434,3.39188370684434
e,83.5900626182556,3.08903694730466,3.08903694730466
e,83.7000498771667,3.08903694730466,3.08903694730466
e,83.897852897644,5.14839491217444,5.14839491217444
e,83.9968354701996,5.14839491217444,5.14839491217444
e,84.1062612533569,5.02725620835857,5.02725620835857
e,84.1945025920868,4.9061175045427,4.23985463355542
e,84.3925285339355,3.99757722592368,-0.545124167171411
e,84.4920170307159,4.23985463355542,-3.02846759539673
e,84.6896538734436,4.36099333737129,-2.90732889158086
e,84.7991213798523,4.30042398546336,-2.84675953967293
e,84.8987860679626,3.69473046638401,-1.99878861296184
e,84.9971623420715,2.84675953967293,-1.3930950938825
e,85.0968005657196,3.08903694730466,-0.726832222895215
e,85.1967976093292,3.1496062992126,-0.545124167171411
e,85.2942180633545,3.75529981829194,-0.0605693519079346
e,85.3936598300934,4.36099333737129,0.363416111447607
e,85.4930651187897,5.51181102362205,2.78619018776499
e,85.6905620098114,6.05693519079346,3.75529981829194
e,85.7896389961243,6.05693519079346,6.05693519079346
e,85.8998444080353,6.05693519079346,6.05693519079346
e,86.0006108283997,6.05693519079346,6.05693519079346
e,86.0990200042725,6.05693519079346,6.05693519079346
e,86.2951021194458,4.60327074500303,4.60327074500303
e,86.3959953784943,2.78619018776499,2.78619018776499
e,86.4937512874603,0.969109630526953,0.969109630526953
e,86.6918041706085,1.27195639006663,0.121138703815869
e,86.7900729179382,1.27195639006663,0.121138703815869
e,86.8896517753601,0.726832222895215,-0.726832222895215
e,86.9993159770966,0.726832222895215,-0.726832222895215
e,87.0986971855164,0.545124167171411,-0.545124167171411
e,87.197979927063,1.3930950938825,-0.242277407631738
e,87.2965171337128,0.423985463355542,-0.423985463355542
e,87.3958296775818,0.181708055723804,-0.181708055723804
e,87.4947607517242,0.0605693519079346,-0.0605693519079346
e,87.5938212871552,0,0
e,87.6928367614746,1.33252574197456,0.66626287098728
