,Sec,NanoSec,0-ref Sec,a_x,a_y,a_z,w_x,w_y,w_z,w_left,w_right,X,Y,Z,qX,qY,qZ,qW,v_x,v_y,v_z
of,1633451994,711542130,0.80349493,,,,0,0,0,,,0,0,0,0,0,0,1,0,0,0
ho,1633451994,711542202,0.80349493,,,,0,0,0,,,0,0,0,0,0,0,1,0,0,0
i,1633451994,677754368,0.808503389,-0.373076759,0.051291828,-9.805871417,0.000503492,0.53840667,-0.002797354,,,,,,,,,,,,
i,1633451994,687761408,0.818510294,-0.373329747,0.050695835,-9.80739585,-0.000268345,0.535302401,-0.003065969,,,,,,,,,,,,
of,1633451994,735287666,0.827240467,,,,0,0,0,,,0,0,0,0,0,0,1,0,0,0
i,1633451994,697770496,0.828519583,-0.380240988,0.054891688,-9.80548271,0.000465267,0.537942708,-0.001433259,,,,,,,,,,,,
p,1633451994,956259750,0.833245039,,,,0,2.06E-16,0,,,-0.163745522,0.150657425,0.082488957,0.019552825,-0.021770725,-0.00232048,0.999569076,-0.003212329,-0.000371097,0.002883882
i,1633451994,707775488,0.83852458,-0.385906685,0.058488448,-9.803282569,9.31E-05,0.537631989,-0.001986902,,,,,,,,,,,,
of,1633451994,755298853,0.847251654,,,,0,0,0,,,0,0,0,0,0,0,1,0,0,0
i,1633451994,719780608,0.850529671,-0.390198245,0.059758536,-9.796623112,0.000760709,0.53578186,-0.001401858,,,,,,,,,,,,
i,1633451994,729787904,0.860536814,-0.392397911,0.059530563,-9.799513572,0.000274863,0.537662387,-0.000485785,,,,,,,,,,,,
p,1633451994,989893750,0.866878986,,,,0,2.08E-16,0,,,-0.16385774,0.150641765,0.082580606,0.019552825,-0.021770725,-0.00232048,0.999569076,-0.002930821,-0.000338576,0.002631157
of,1633451994,775320530,0.867273331,,,,0,0,0,,,0,0,0,0,0,0,1,0,0,0
of,1633451994,775320530,0.867273331,,,,0,0,0,,,0,0,0,0,0,0,1,0,0,0
i,1633451994,739796992,0.870545864,-0.388127247,0.055343893,-9.803389537,-0.000561634,0.536009073,-0.003023212,,,,,,,,,,,,
i,1633451994,749802240,0.880551338,-0.381520652,0.053643542,-9.801513222,-0.000549433,0.538136184,-0.002645041,,,,,,,,,,,,
i,1633451994,759809792,0.89055872,-0.375169822,0.05197207,-9.808864169,0.000661601,0.538715065,-0.002692957,,,,,,,,,,,,
