Sec,NanoSec,0ref_Sec,a_x,a_y,a_z,w_x,w_y,w_z
1632492895,947121408,27.51812053,6.237637043,-0.152485967,-17.4010849,0.229861006,0.544600785,0.023110174
1632492896,47204096,27.61820316,5.549088955,-4.394141197,-16.02549744,0.192033127,0.551516116,-0.017652018
1632492896,147288576,27.71828771,6.459645748,-4.550726891,-17.30370331,0.065676779,0.550717473,0.025343619
1632492896,247374848,27.81837392,6.806236267,-3.169282436,-18.55570602,0.100588709,0.545432627,-0.086000867
1632492896,347457024,27.91845608,7.69471693,1.961029768,-11.29200554,0.283630937,0.530205846,0.07685037
1632492896,447547136,28.01854634,7.351847172,0.850334048,-17.13604927,-0.406817049,0.529701173,0.348541647
1632492896,547633408,28.11863256,7.783788681,1.819034338,-14.24767303,0.003954196,0.544889271,0.540228724
1632492896,647721216,28.21872044,10.15057659,1.538292766,-12.04874992,-0.023032639,0.540498912,0.088395931
1632492896,747805184,28.31880426,8.235992432,-2.90610218,-15.11048508,0.137783617,0.551343322,-0.243820459
1632492896,847890944,28.41889,8.375183105,-2.581789494,-14.06020546,0.066974789,0.567959189,-0.531985939
1632492896,947978496,28.51897764,9.797056198,-1.172169447,-13.34848118,-0.098281734,0.574272454,-0.762321949
1632492897,48062208,28.61906147,12.40524483,0.842652082,-10.93003845,0.13372536,0.553995967,-0.820185602
1632492897,148147968,28.71914721,9.403473854,-0.28165102,-8.815992355,-0.000952067,0.577689528,-0.914234638
1632492897,248235264,28.81923437,9.30017662,3.60337925,-10.11767387,0.011861953,0.584064245,-1.072125673
1632492897,348318720,28.91931796,9.556028366,1.660470009,-10.08252525,0.039131355,0.577862501,-1.170665979
1632492897,448403968,29.01940322,9.500684738,1.340979218,-11.59554958,-0.017166937,0.552978456,-0.279565871
1632492897,548491520,29.11949062,10.00436401,1.662371516,-8.736689568,0.095161021,0.535747766,-0.160580769
1632492897,648580864,29.21957994,8.368087769,0.893797398,-7.785664082,0.313896865,0.528182983,0.069152512
1632492897,748672000,29.31967115,9.276311874,4.58982563,-12.5094862,-0.267649949,0.532501101,-0.021788433
1632492897,848759040,29.41975808,9.179148674,7.935853958,-9.028968811,-0.000904606,0.540653646,0.032276344
1632492897,948853760,29.51985288,9.470561028,7.474797249,-7.413410664,-0.210826918,0.534107387,-0.044181231
1632492898,48938752,29.6199379,7.874697685,2.785326958,-9.2006073,0.155872494,0.553472638,-0.255288243
1632492898,149025536,29.72002459,9.11033535,2.434123039,-7.477530479,0.067697078,0.551402569,-0.380031198
1632492898,249114112,29.82011318,6.996366501,1.374664307,-7.033977509,-0.015622833,0.559667885,-0.605310977
1632492898,349204736,29.92020392,7.484410286,3.421243906,-5.613170624,-0.231413588,0.560473502,-0.462651491
1632492898,449291264,30.02029037,7.339851856,5.827269554,-5.374729633,0.207335204,0.581046104,-0.496986777
1632492898,549379840,30.12037897,7.052278519,7.406805992,-5.364526749,0.14564833,0.573193014,-0.578831494
1632492898,649470208,30.22046924,6.228666306,7.030535221,-5.679844856,0.044791855,0.57186228,-0.772177875
1632492898,749562368,30.32056141,6.914103031,7.302540302,-4.085288525,-0.074767269,0.551517904,-0.765579879
1632492898,849650432,30.42064953,4.286794662,8.622168541,-4.617593288,-0.288594842,0.556803644,-0.99513799
1632492898,949740544,30.52073979,2.830939054,6.427171707,-2.689300537,-0.203431785,0.569017172,-0.991269827
1632492899,49826560,30.62082577,2.646949291,8.317482948,-3.487079144,-0.084758565,0.55733639,-0.395620793
1632492899,149914368,30.72091341,-0.239492178,7.346661568,-2.738642216,0.065604247,0.539885104,0.080471769
1632492899,250010112,30.82100916,2.166972399,5.884881973,-4.49501133,0.140624568,0.555067897,-0.07871633
1632492899,350101760,30.92110085,1.379774809,3.082182884,-4.527792454,0.014031686,0.534788728,-0.029386606
1632492899,450195200,31.02119446,1.213284969,4.828619957,-2.735003471,-0.110750236,0.52009058,-0.147319838
1632492899,550284800,31.12128401,-0.299266875,4.800862312,-5.319159985,-0.26609692,0.523165286,0.211997449
1632492899,650376192,31.22137523,-0.536000609,11.06995583,-6.658216,-0.103346623,0.52816391,0.389598817
1632492899,750463744,31.32146287,1.356167555,7.5052495,1.446662426,0.260629058,0.549931288,0.529702365
1632492899,850552832,31.42155194,0.764497638,7.944010735,-1.562869072,-0.051814362,0.543210149,-0.007682454
1632492899,950644224,31.5216434,-0.815326631,11.78871155,-2.569743156,0.221808955,0.552828789,-0.051451951
1632492900,50731264,31.62173033,-0.123117208,11.4673996,-2.874548435,-0.040498197,0.548357189,-0.190324679
1632492900,150820096,31.72181916,0.228077471,3.427890778,-4.580674171,0.337961257,0.536009431,0.078212216
1632492900,250910976,31.82191014,-0.619703054,3.475734472,-3.067287922,0.095912091,0.529574871,0.109478533
1632492900,351003648,31.92200279,-2.681921482,3.047884464,-3.737647057,-0.227805674,0.540216267,0.003788479
1632492900,451092224,32.02209139,-1.650687218,7.665100098,2.733988523,-0.29976818,0.53482306,0.100932553
